wav_filename,wav_filesize,transcript
common_voice_es_22042618.wav,78380,tres
common_voice_es_22043257.wav,53036,tres
common_voice_es_22043149.wav,172844,tres
common_voice_es_22041890.wav,85292,tres
common_voice_es_22040787.wav,68396,uno
common_voice_es_22040791.wav,76844,tres
common_voice_es_21940928.wav,68396,no
common_voice_es_21940930.wav,86060,seis
common_voice_es_22042528.wav,87596,tres
common_voice_es_22042530.wav,69164,si
common_voice_es_21999719.wav,83756,siete
common_voice_es_21999721.wav,83756,hey
common_voice_es_21999723.wav,74540,si
common_voice_es_22008908.wav,59948,dos
common_voice_es_22008909.wav,68396,si
common_voice_es_22008910.wav,73004,firefox
common_voice_es_22024488.wav,79916,nueve
common_voice_es_22024490.wav,69164,uno
common_voice_es_22024492.wav,75308,ocho
common_voice_es_22039515.wav,75308,tres
common_voice_es_22039522.wav,60716,siete
common_voice_es_22039525.wav,56876,cero
common_voice_es_22000006.wav,130604,ocho
common_voice_es_22000003.wav,106028,dos
common_voice_es_22000011.wav,76844,no
common_voice_es_22000013.wav,79916,seis
common_voice_es_21946469.wav,110636,seis
common_voice_es_21946470.wav,102188,no
common_voice_es_21946472.wav,134444,cero
common_voice_es_21946476.wav,122156,dos
common_voice_es_21947615.wav,133676,no
common_voice_es_21947618.wav,81452,siete
common_voice_es_21947619.wav,80684,si
common_voice_es_21947621.wav,86828,nueve
common_voice_es_22029021.wav,55340,uno
common_voice_es_22029026.wav,66860,nueve
common_voice_es_22029034.wav,65324,firefox
common_voice_es_22029036.wav,64556,tres
common_voice_es_22030354.wav,112172,firefox
common_voice_es_22030359.wav,106028,dos
common_voice_es_22030877.wav,99116,nueve
common_voice_es_22030884.wav,99884,cinco
common_voice_es_21983004.wav,96044,firefox
common_voice_es_21983005.wav,82988,nueve
common_voice_es_21983006.wav,72236,no
common_voice_es_21983008.wav,63788,siete
common_voice_es_21999762.wav,179756,cuatro
common_voice_es_21999763.wav,79916,siete
common_voice_es_21999764.wav,109868,firefox
common_voice_es_21999765.wav,73004,cero
common_voice_es_21984499.wav,99116,uno
common_voice_es_21984501.wav,92972,si
common_voice_es_21984502.wav,99116,siete
common_voice_es_21984503.wav,97580,firefox
common_voice_es_21965438.wav,143660,hey
common_voice_es_21965439.wav,107564,cuatro
common_voice_es_21965441.wav,94508,ocho
common_voice_es_21965442.wav,56876,firefox
common_voice_es_22041612.wav,95276,tres
common_voice_es_22041829.wav,66860,si
common_voice_es_22041830.wav,86828,uno
common_voice_es_22041860.wav,90668,cuatro
common_voice_es_21963896.wav,153644,seis
common_voice_es_21963898.wav,141356,dos
common_voice_es_21963900.wav,105260,siete
common_voice_es_21963902.wav,112940,nueve
common_voice_es_21973017.wav,136748,no
common_voice_es_21973018.wav,101420,tres
common_voice_es_21973023.wav,105260,hey
common_voice_es_21973028.wav,89900,cuatro
common_voice_es_21944844.wav,128300,hey
common_voice_es_21944845.wav,77612,si
common_voice_es_21944846.wav,71468,seis
common_voice_es_21944847.wav,73004,tres
common_voice_es_21944848.wav,64556,cero
common_voice_es_21984700.wav,99884,ocho
common_voice_es_21984704.wav,80684,si
common_voice_es_21984707.wav,75308,no
common_voice_es_21984710.wav,89132,seis
common_voice_es_21984712.wav,78380,uno
common_voice_es_21995278.wav,179756,seis
common_voice_es_21995280.wav,93740,tres
common_voice_es_21995281.wav,66860,hey
common_voice_es_21995282.wav,75308,no
common_voice_es_21995285.wav,72236,cero
common_voice_es_21984484.wav,106796,siete
common_voice_es_21984485.wav,79148,cero
common_voice_es_21984487.wav,96044,firefox
common_voice_es_21984489.wav,71468,uno
common_voice_es_21975208.wav,226604,tres
common_voice_es_21975213.wav,75308,seis
common_voice_es_21975216.wav,59180,si
common_voice_es_21975218.wav,58412,hey
common_voice_es_21994739.wav,99116,siete
common_voice_es_21975219.wav,60716,cinco
common_voice_es_21994740.wav,89132,nueve
common_voice_es_21994741.wav,89132,hey
common_voice_es_21994742.wav,92972,cinco
common_voice_es_21994743.wav,91436,seis
common_voice_es_21990336.wav,125228,cinco
common_voice_es_21990337.wav,97580,cero
common_voice_es_21990338.wav,96812,nueve
common_voice_es_21990339.wav,86828,siete
common_voice_es_21990340.wav,77612,si
